,Plot_Number,Rice_Cultivar,Experiment_Name,Nitrogen_Rate,Replicate,Yield,Heading_100,Date,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,Emergence_DOY,Heading_100_DOY,Days_to_100%_Heading
71,33832,IAC600,Tiara,200,3,6.627535563,67,06-14-2021,0.30840734,1.6686007,-5.891696,7.821788,5.418685,0.44514254,-6.319753,0.56775725,0.40116733,3.237545,-0.5951887,0.3299619,6.0522747,140,207,-42
72,35148,Santee Gold,Santee_Gold,75,1,10.55358324,90,06-14-2021,0.3146627,1.9628404,-6.7468586,8.805071,6.053989,0.42072478,-6.8816285,0.6242684,0.5566437,3.3931081,-0.54366696,0.35485554,6.603434,140,230,-65
73,35149,Carolina Gold,Santee_Gold,75,1,5.993747004,88,06-14-2021,0.34253854,1.722022,-5.957521,7.947166,5.5383873,0.42569292,-6.3375874,0.54685414,0.4332964,3.273889,-0.55381835,0.34655973,6.100726,140,228,-63
74,35150,Charleston Gold,Santee_Gold,75,1,12.839237,83,06-14-2021,0.3827516,2.0631952,-6.8526077,9.038572,6.305441,0.36142653,-6.8679,0.57091737,0.6503095,3.4561145,-0.43305027,0.36630043,6.663907,140,223,-58
75,35151,RoyJ,Santee_Gold,75,1,14.23013045,85,06-14-2021,0.2947615,1.8296989,-6.443122,8.441661,5.794824,0.4242392,-6.7015686,0.6243806,0.48353338,3.3335469,-0.58135545,0.33216912,6.4116054,140,225,-60
76,35152,Santee Gold,Santee_Gold,75,1,10.05745012,90,06-14-2021,0.3332602,2.067506,-7.022753,9.142208,6.283017,0.4172708,-7.052066,0.62382656,0.6135827,3.4623976,-0.5102759,0.37392285,6.7760754,140,230,-65
77,35153,Carolina Gold,Santee_Gold,75,1,6.297736087,88,06-14-2021,0.35437918,1.7484561,-6.0205665,8.015603,5.6085124,0.42497855,-6.3680086,0.53568816,0.45387313,3.2913406,-0.5467342,0.35984132,6.1438203,140,228,-63
78,35154,Charleston Gold,Santee_Gold,75,1,13.9175379,82,06-14-2021,0.22252198,1.7037593,-6.3448133,8.166629,5.500145,0.47171745,-6.732188,0.6928306,0.39339778,3.2362602,-0.72437525,0.31742188,6.3420835,140,222,-57
79,35155,RoyJ,Santee_Gold,75,1,14.62588982,82,06-14-2021,0.17673324,1.7810105,-6.706082,8.530937,5.6844826,0.48845583,-7.017786,0.7600348,0.40471137,3.2990952,-0.7383354,0.3070334,6.591225,140,222,-57
80,35156,Carolina Gold,Santee_Gold,75,2,6.727909317,89,06-14-2021,0.34073636,1.9073814,-6.567276,8.62062,5.9688463,0.40074435,-6.728557,0.58812344,0.5576272,3.3653042,-0.54381096,0.34877342,6.4745884,140,229,-64
81,35157,Charleston Gold,Santee_Gold,75,2,12.33736824,83,06-14-2021,0.29871318,1.955631,-6.850273,8.89698,6.0719414,0.40723282,-6.9676776,0.64892423,0.5473953,3.4004292,-0.5600653,0.3436572,6.664492,140,223,-58
82,35158,Carolina Gold,Santee_Gold,75,2,5.259584692,88,06-14-2021,0.33902377,1.6597716,-5.8407736,7.7754903,5.4147305,0.43798214,-6.260791,0.5396233,0.41404116,3.222419,-0.6101733,0.33891237,6.0104694,140,228,-63
83,35159,RoyJ,Santee_Gold,75,2,13.67664089,85,06-14-2021,0.36325377,2.062397,-6.937708,9.091783,6.2972665,0.3757848,-6.944706,0.59593296,0.6402581,3.4543607,-0.4719084,0.36333475,6.7135944,140,225,-60
84,35160,Santee Gold,Santee_Gold,75,2,10.64535353,90,06-14-2021,0.31859642,1.7755022,-6.2371407,8.222278,5.6782064,0.42327744,-6.5392966,0.58876956,0.46675038,3.2962017,-0.5860617,0.3397127,6.2730336,140,230,-65
85,35161,RoyJ,Santee_Gold,75,2,13.06005926,83,06-14-2021,0.32631204,1.8687085,-6.4874825,8.517229,5.876483,0.40847775,-6.700005,0.6020497,0.5149993,3.351719,-0.55180544,0.34306455,6.4336376,140,223,-58
86,35162,Santee Gold,Santee_Gold,75,2,10.12341001,90,06-14-2021,0.36934355,1.9261103,-6.5135994,8.610233,5.9982004,0.38664863,-6.6681156,0.55999285,0.57572514,3.3732936,-0.49885273,0.36140236,6.445568,140,230,-65
87,35163,Charleston Gold,Santee_Gold,75,2,11.7064475,82,06-14-2021,0.34342986,1.8039432,-6.2997756,8.316909,5.7761993,0.40072265,-6.5582294,0.57787573,0.51048607,3.3110049,-0.56863046,0.33589137,6.3101835,140,222,-57
88,35164,Carolina Gold,Santee_Gold,75,3,5.489010414,88,06-14-2021,0.3787443,1.5451962,-5.3635163,7.3403068,5.2195163,0.4029598,-5.863545,0.46043897,0.37377292,3.1740894,-0.52173483,0.31954458,5.6922946,140,228,-63
