,Plot_Number,Rice_Cultivar,Experiment_Name,Nitrogen_Rate,Replicate,Yield,Heading_100,Date,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,Emergence_DOY,Heading_100_DOY,Days_to_100%_Heading
32,31812,NIL 43,Inbred_Jeff + NIL,130,3,9.192241943,89,06-09-2022,-3.8186421,1.0860345,1.2124088,-1.9953011,-2.4155147,3.8770354,-2.9055283,-2.9828672,2.3043969,2.8742678,1.7272193,-3.1700788,2.7795262,140,229,-69
33,31813,Jefferson,Inbred_Jeff + NIL,130,3,6.590768646,79,06-09-2022,-3.8808703,1.1043164,1.2759598,-2.0128326,-2.4438856,3.9076383,-2.9356132,-3.0158896,2.3215492,2.9424503,1.7688891,-3.2271872,2.814046,140,219,-59
34,31814,Jefferson,Inbred_Jeff + NIL,130,3,6.419083262,78,06-09-2022,-4.0877843,1.1883388,1.4090838,-2.090163,-2.5642817,4.053729,-3.0804589,-3.1515682,2.4290233,3.1399143,1.8582783,-3.4224846,2.9419098,140,218,-58
35,31815,Jefferson,Inbred_Jeff + NIL,130,3,5.549949903,78,06-09-2022,-3.9971626,1.1420685,1.3765774,-2.0488086,-2.5032566,3.972724,-3.0200484,-3.08463,2.3781295,3.078985,1.833764,-3.347158,2.8920116,140,218,-58
36,31816,NIL 43,Inbred_Jeff + NIL,130,3,9.539245252,89,06-09-2022,-4.105243,1.173312,1.4759167,-2.0799246,-2.5572376,4.0381017,-3.0995412,-3.1501272,2.4254823,3.193251,1.8853503,-3.447109,2.9541624,140,229,-69
37,31817,Jefferson,Inbred_Jeff + NIL,130,3,6.937580769,79,06-09-2022,-4.1879754,1.2049612,1.4936582,-2.1125913,-2.6059816,4.116849,-3.133468,-3.193767,2.4701345,3.2548862,1.9038723,-3.5116153,2.998836,140,219,-59
38,31818,NIL 43,Inbred_Jeff + NIL,130,3,10.18124917,89,06-09-2022,-4.185593,1.2190025,1.4850847,-2.1245382,-2.617206,4.121918,-3.1551542,-3.208485,2.47787,3.248879,1.9065784,-3.5199113,3.007363,140,229,-69
39,31819,NIL 43,Inbred_Jeff + NIL,130,3,9.018835881,89,06-09-2022,-4.1561484,1.2052531,1.4662025,-2.1153107,-2.5992947,4.099576,-3.1235034,-3.1917832,2.4605398,3.206157,1.8901972,-3.4826844,2.985871,140,229,-69
40,31823,EMBRAPA 1200,Mini_Core,130,1,5.203088607,90,06-09-2022,-3.7743006,0.96263736,1.2783046,-1.8626779,-2.2907195,3.7663274,-2.811407,-2.8182178,2.2114608,2.9739099,1.7299755,-3.1264753,2.7060611,139,229,-69
41,31825,M-202,Mini_Core,130,1,7.284553476,82,06-09-2022,-3.8596706,1.0163051,1.3221925,-1.9080701,-2.353397,3.8350508,-2.8701258,-2.8843994,2.263781,3.0293717,1.7575548,-3.2032404,2.7570128,139,221,-61
42,31829,RT7521FP,Mini_Core,130,1,18.47163849,86,06-09-2022,-3.1728427,0.6017881,1.1906226,-1.491291,-1.8196151,3.084229,-2.2977326,-2.277945,1.8287631,2.67193,1.5653175,-2.614321,2.3047907,139,225,-65
43,31831,Jefferson,Mini_Core,130,1,6.503932455,79,06-09-2022,-3.7329602,0.9208256,1.3143561,-1.8172601,-2.2406576,3.6918519,-2.7679317,-2.7571301,2.1770124,2.997258,1.7263185,-3.1019943,2.6732354,139,218,-58
44,31832,EMBRAPA 1200,Mini_Core,130,2,7.024155281,91,06-09-2022,-4.1009917,1.1927543,1.4307246,-2.1058855,-2.576675,4.064677,-3.105778,-3.1722236,2.4401357,3.1417751,1.8662513,-3.4317126,2.9569738,139,230,-70
